HOUSEID	AVGVEHS	CENSUS_D	CENSUS_R	DRVRCNTC	HHCHILD	HHCOMP	HHINCOME	HHR_SEX	HHSIZEC	LIF_CYC	POORC	TOTCOST	TOTGALS	TOTMILES	URBRUR
010000018	3	5	3	2	7	0	9	2	2	02	3	4213.928988	3302.433968	75269.98714	1
010000045	1	5	3	1	5	0	4	1	1	01	3	399.6703371	329.9972459	9066.829573	1
010000474	2	5	3	1	6	0	-9	2	1	01	-9	204.5101133	176.4629296	3145.729022	2
010000577	2	2	1	2	8	0	9	1	2	02	3	2001.145956	1513.856185	28352.47827	1
010000652	1	9	4	2	9	0	5	2	2	10	3	363.0006281	248.6185707	3860.932517	2
010000894	1	1	1	2	8	0	9	1	2	02	3	1196.983908	881.3722381	16115.8572	1
010000933	0	4	2	0	6	0	3	2	1	09	2	0	0	0	1
010001202	0	2	1	0	6	0	1	2	1	09	1	0	0	0	1
010001332	1	3	2	1	6	0	9	1	1	09	3	749.9677883	535.4984709	8858.001517	1
010001480	0	2	1	0	6	0	7	1	1	01	3	0	0	0	1
010001574	3	5	3	3	3	1	8	1	4	06	3	2370.860823	1950.676939	45627.65265	1
010001819	0	1	1	0	5	0	4	2	1	01	3	0	0	0	1
010002188	1	3	2	2	8	0	6	2	2	07	3	594.0208735	424.1400309	11121.02267	1
010003103	2	2	1	2	8	0	8	1	2	02	3	1546.227033	1173.291872	24306.4022	2
010003372	4	4	2	2	2	1	8	1	3	06	3	9672.330434	7120.662306	120235.9303	2
010003671	2	3	2	1	1	1	4	2	2	03	2	2119.414127	1647.071773	19713.55834	1
010003710	1	4	2	1	5	0	8	2	1	01	3	915.271508	700.2027333	15817.82922	1
010003738	2	5	3	2	3	1	4	2	2	07	2	1925.165808	1584.473603	26310.78384	1
010004007	1	5	3	1	6	0	3	1	1	09	2	492.6532955	405.4600927	7658.656681	1
010004137	2	5	3	2	1	1	9	2	4	04	3	1285.559306	1067.433625	19255.07526	1
010004762	1	5	3	1	6	0	3	2	1	01	2	227.9720609	187.6881187	4502.239233	1
010004874	1	4	2	1	1	1	5	2	2	05	3	889.1716693	677.8396823	15743.84126	1
010005509	3	9	4	2	8	0	8	1	2	02	3	1268.187035	884.9438445	15895.80251	2
010005769	3	8	4	3	3	1	7	1	3	07	3	1225.927681	863.906978	21381.55391	1
010006029	2	8	4	2	9	0	9	1	2	02	3	1595.260996	1094.334765	21267.56291	1
010006113	1	7	3	1	5	0	6	2	1	01	3	738.073401	576.3892738	11542.05131	1
010006140	3	5	3	2	8	0	9	2	2	02	3	1378.23543	1206.837927	20988.74943	2
010006533	2	5	3	2	9	0	8	1	2	10	3	1722.217185	1268.985488	22848.4888	1
010006636	2	4	2	2	8	0	1	2	2	07	1	1.67158055	1.184670714	20.32732549	2
